#name	name2
NM_001002812.2	PDE4DIP
NM_001198834.3	PDE4DIP
NM_014644.5	PDE4DIP
XM_017002895.2	PDE4DIP
XM_011510179.1	PDE4DIP
XM_006711652.1	PDE4DIP
XM_006711651.1	PDE4DIP
NM_020205.4	OTUD7B
XM_011509787.1	OTUD7B
XM_011509785.2	OTUD7B
XM_011509782.1	OTUD7B
XM_011509786.1	OTUD7B
XM_017001850.1	OTUD7B
XM_011509788.2	OTUD7B
XM_011509784.3	OTUD7B
XM_017001851.2	OTUD7B
XM_024448516.1	OTUD7B
XM_017002788.2	NUP210L
XM_011510122.1	NUP210L
NM_207308.2	NUP210L
NM_001159484.1	NUP210L
XM_011510123.2	NUP210L
XM_011510124.2	NUP210L
XM_017002789.2	NUP210L
NM_001371720.1	MUC1
NM_001204287.2	MUC1
NM_001204297.2	MUC1
NM_001018016.3	MUC1
NM_001204288.2	MUC1
NM_001044392.3	MUC1
NM_001204296.2	MUC1
NM_001204289.2	MUC1
NM_001204285.2	MUC1
NM_002456.6	MUC1
NM_001204293.2	MUC1
NM_001018017.3	MUC1
NM_001044391.3	MUC1
NM_001044390.3	MUC1
NM_001044393.3	MUC1
NM_001204294.2	MUC1
NM_001204290.2	MUC1
NM_001204286.1	MUC1
NM_001204295.1	MUC1
NM_001204292.1	MUC1
NM_001204291.1	MUC1
NM_001199653.1	PMF1
NM_007221.3	PMF1
NM_001199654.1	PMF1
NM_001199664.1	PMF1-BGLAP
NM_001199663.1	PMF1-BGLAP
NM_001199661.1	PMF1-BGLAP
NM_001199662.1	PMF1-BGLAP
XR_001738254.1	LOC101928202
NM_001184763.1	UHMK1
NM_144624.2	UHMK1
NM_175866.5	UHMK1
NM_002585.4	PBX1
NM_001204961.1	PBX1
NM_001204963.1	PBX1
XM_011509591.2	PBX1
XM_005245228.3	PBX1
XM_017001395.2	PBX1
XM_011509592.2	PBX1
XM_011509590.2	PBX1
NM_001353131.1	PBX1
XM_005245229.3	PBX1
NM_001353130.1	PBX1
NM_000696.3	ALDH9A1
NM_001365774.2	ALDH9A1
NM_020423.7	SCYL3
NM_181093.3	SCYL3
